Timestamp,age_group,gender,study_hours,music_frequency,music_type,familiarity,preferred_task,environment,productivity_score,distraction_score,focus_shielding_score,stress_reduction
2026/04/05 4:58:27 PM GMT+2,,Female,3-5 hours,Often,Rap,Familiar (Songs I’ve heard 100 times),Reading,Total silence (Library/Private room),3,3,3,Yes
2026/04/05 5:00:28 PM GMT+2,18–21,Female,0–2 hours,Rarely,Pop,No preference,Solving problems (math/programming),Controlled Audio (Headphones in any environment),4,1,4,No
2026/04/05 5:01:11 PM GMT+2,18–21,Female,0–2 hours,Sometimes,Pop,New (Discovering fresh playlists),Writing,Controlled Audio (Headphones in any environment),1,1,1,Maybe
2026/04/05 5:16:34 PM GMT+2,18–21,Female,3-5 hours,Sometimes,Instrumental,No preference,Memorization,Controlled Audio (Headphones in any environment),1,2,2,Maybe
2026/04/05 5:19:20 PM GMT+2,18–21,Female,6+ hours,Always,My music taste is very diverse. I listen to all kinds of music,Familiar (Songs I’ve heard 100 times),Writing,Controlled Audio (Headphones in any environment),4,3,5,Maybe
2026/04/05 5:38:01 PM GMT+2,18–21,Female,0–2 hours,Rarely,N/A,New (Discovering fresh playlists),I don’t study with music,Moderate (Coffee shop/Public space),3,5,3,Maybe
2026/04/05 6:12:17 PM GMT+2,18–21,Male,0–2 hours,Rarely,idk,Familiar (Songs I’ve heard 100 times),Solving problems (math/programming),Total silence (Library/Private room),3,3,3,Maybe
2026/04/05 6:16:44 PM GMT+2,18–21,Female,0–2 hours,Often,Instrumental,New (Discovering fresh playlists),Solving problems (math/programming),Moderate (Coffee shop/Public space),3,4,4,Yes
2026/04/05 6:33:50 PM GMT+2,18–21,Female,0–2 hours,Often,Rap,Familiar (Songs I’ve heard 100 times),Solving problems (math/programming),Controlled Audio (Headphones in any environment),4,3,5,Yes
2026/04/05 6:34:19 PM GMT+2,18–21,Male,3-5 hours,Never,N/A,No preference,Solving problems (math/programming),Moderate (Coffee shop/Public space),4,3,2,Maybe
2026/04/05 6:34:50 PM GMT+2,18–21,Male,0–2 hours,Often,Pop,Familiar (Songs I’ve heard 100 times),Solving problems (math/programming),Moderate (Coffee shop/Public space),4,4,3,No
2026/04/05 6:34:59 PM GMT+2,18–21,Female,3-5 hours,Sometimes,N/A,Familiar (Songs I’ve heard 100 times),Solving problems (math/programming),Moderate (Coffee shop/Public space),3,4,4,Maybe
2026/04/05 6:35:49 PM GMT+2,18–21,Male,3-5 hours,Sometimes,Instrumental,Familiar (Songs I’ve heard 100 times),Solving problems (math/programming),Total silence (Library/Private room),4,4,2,No
2026/04/05 6:35:52 PM GMT+2,18–21,Female,0–2 hours,Rarely,Instrumental,No preference,Solving problems (math/programming),Moderate (Coffee shop/Public space),3,4,2,No
